time,mmsi,ship_type,name,destination,draught,imo,call_sign,eta,pos_type,reference_point_a,reference_point_b,reference_point_c,reference_point_d
2025-03-24T13:09:21.419660+00:00,265676640,60,HOGMARSO FARJA,HOGMARSO&SVARTNO,0.0,0,SMAG ,1596,15,15,15,4,4
2025-03-24T13:09:21.171595+00:00,305184000,70,ROSEBURG,VYBORG,32.0,8817370,V2PS2,240000,1,70,12,8,4
2025-03-24T13:09:21.130455+00:00,230938210,60,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,0,0,0,0
2025-03-24T13:09:20.848186+00:00,230704000,60,FINNCANOPUS,FINLI<>FILAN<>SEKPS,69.0,9902421,OJUL,241999,3,65,170,10,24
2025-03-24T13:09:20.796445+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,1,25,59,12,8
2025-03-24T13:09:20.697795+00:00,230991780,52,JOONAS,,20.0,0,OI4812,0,1,6,9,3,2
2025-03-24T13:09:19.916990+00:00,210853000,70,KURLAND,LOVIISA,44.0,9226803,P3GW9,244480,1,81,19,4,12
2025-03-24T13:09:19.679852+00:00,230099540,60,SIMSKALA,SIMSKALA,30.0,0,OG5113,67649,1,16,16,1,7
2025-03-24T13:09:18.198546+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:09:17.915831+00:00,636021344,80,AFRICA,EESLM FOR ORDERS,96.0,9905320,5LDM9,248448,1,227,47,30,20
2025-03-24T13:09:17.718797+00:00,636022975,80,SLED,OPL PORT SAID,115.0,9284805,5LLH9,281920,1,157,32,15,17
2025-03-24T13:09:17.715348+00:00,230081290,50,L152,RAUMA PILOT AREA,24.0,0,OH5309,1596,1,12,4,3,3
2025-03-24T13:09:16.567291+00:00,230705000,60,VIKING XPRS,FIHEL <> EEVAN,65.0,9375654,OJND,246464,1,23,162,17,17
2025-03-24T13:09:16.035537+00:00,230678000,90,VOIMA,TURKU,34.0,0,OGKB,449344,1,6,18,2,5
2025-03-24T13:09:15.549757+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,1,25,59,12,8
2025-03-24T13:09:15.216627+00:00,230985150,52,HECTOR,FI TKU,49.0,7341166,OJKQ,224030,1,16,16,5,5
2025-03-24T13:09:14.938817+00:00,538005408,80,STI POPLAR,THAMES FOR ORDERS,113.0,9696589,V7DO8,253952,15,149,35,17,10
