time,mmsi,ship_type,name,destination,draught,imo,call_sign,eta,pos_type,reference_point_a,reference_point_b,reference_point_c,reference_point_d
2025-03-20T11:12:35.790520+00:00,265587000,,RESCUE MATHILDA,,0.0,0,7SA2309,1596,15,,,,
2025-03-20T11:12:35.383813+00:00,230713000,,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,240192,3,,,,
2025-03-20T11:12:34.557914+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
2025-03-20T11:12:33.639888+00:00,249145000,,KERSTI,DKFDV,53.0,9342138,9HA4127,242432,1,,,,
2025-03-20T11:12:32.749504+00:00,209657000,,RADUGA ELECTRON,EE TLL,54.0,8207379,5BGT5,232704,15,,,,
2025-03-20T11:12:32.640843+00:00,230914000,,VIGGEN,LANGNAS<>GALTBY,40.0,9173719,OJIQ,1596,1,,,,
2025-03-20T11:12:32.435737+00:00,667002334,,UTAKI,GULF OF FINLAND,82.0,9262924,9LS2037,236608,15,,,,
2025-03-20T11:12:32.422406+00:00,265411000,,SCA OBBOLA,HOLMSUND,58.0,9087350,SEBR,238080,3,,,,
2025-03-20T11:12:32.357999+00:00,230052800,,EMMA,KRUUNUVUORENR FERRY,20.0,0,OI-2286,252992,15,,,,
2025-03-20T11:12:32.312878+00:00,273355240,,LEOPARD,,44.0,9614139,UBUH4 ,596977,0,,,,
2025-03-20T11:12:31.508331+00:00,538008652,,VELOS AQUARIUS,RU ULU,70.0,9381756,V7A2623,230080,15,,,,
2025-03-20T11:12:31.124848+00:00,273336330,,SADKO,UST-LUGA ,43.0,9521239,UBWF5,438656,1,,,,
2025-03-20T11:12:31.029565+00:00,230202000,,STEEL,SE LLA,71.0,8503503,OIVR,238528,1,,,,
2025-03-20T11:12:30.668488+00:00,354540000,,MSC SHANNON III,RULED=>FIKTK,82.0,8913423,HPRY,237918,1,,,,
2025-03-20T11:12:27.796829+00:00,230035990,,OSTERN,KUM-ENK,35.0,0,OJ9503,617752,1,,,,
2025-03-20T11:12:27.546936+00:00,276756000,,AHTO-28,MUUGA,15.0,0,ES2735,0,1,,,,
2025-03-20T11:12:27.172076+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
2025-03-20T11:12:26.508803+00:00,636023680,,SIREN,"UST LUGA,RUSSIA",90.0,9405423,5LOW8,238080,1,,,,
2025-03-20T11:12:26.066222+00:00,273299870,,BOGATYR,RUVYSK,30.0,9841055,UBPW8,84864,0,,,,
2025-03-20T11:12:25.688946+00:00,230938210,,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,,,,
2025-03-20T11:12:25.174033+00:00,230713000,,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,240192,3,,,,
2025-03-20T11:12:23.894717+00:00,230984090,,TINTO,RAUMA,34.0,530126500,OJKP,221376,1,,,,
2025-03-20T11:12:23.603456+00:00,246457000,,WESTBORG,MUUGA,63.0,9196187,PDBQ,238016,0,,,,
2025-03-20T11:12:23.427014+00:00,276859000,,MYSTAR,EEVAN<->FIHEL,69.0,9892690,ESLR,238430,1,,,,
2025-03-20T11:12:23.069953+00:00,265411000,,SCA OBBOLA,HOLMSUND,58.0,9087350,SEBR,238080,3,,,,
2025-03-20T11:12:20.749754+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
2025-03-20T11:12:19.472761+00:00,230685000,,FINBO CARGO,EEMUG<>FIVSS,60.0,9181106,OJST,238445,1,,,,
2025-03-20T11:12:18.913548+00:00,230634000,,STELLA,GALTBY-KITTUIS,42.0,9624691,OJPW,121408,1,,,,
2025-03-20T11:12:18.695219+00:00,273376280,,VLADIVOSTOK,MURMANSK,85.0,9658654,UFYH,252288,1,,,,
2025-03-20T11:12:18.683295+00:00,276003580,,AHTO- 07,HUNDIPEA,25.0,0,ES2999,750356,1,,,,
2025-03-20T11:12:18.509872+00:00,245302000,,LADY HABARKA,FIKAS,38.0,9835006,PDSQ,236928,1,,,,
2025-03-20T11:12:17.192385+00:00,352002533,,GREEN AANEKOSKI,KOTKA,99.0,9976082,HOA2934,225822,1,,,,
2025-03-20T11:12:17.039641+00:00,230997150,,PILOT L134,RAUM PILOT,24.0,0,OG9090,242590,1,,,,
2025-03-20T11:12:16.286730+00:00,230938210,,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,3,,,,
